Participant,You abandoned a pull request because,"When you were unable to complete your pull request, you","If someone pick up your abandoned pull request, you would prefer to",Would you like to pick up the pull requests abandoned by others,Anything else you would like to tell us about pull request abandonment?
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,In my view a major reason for abandoned pull request is design differences between the contributor and the maintainer. ,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,Technical - requests to verify the implementation on different phone models not answered,,,,
21,,,,,
22,Someone else opened basically the same PR but got accepted quicker.,,,,
23,,,,,
24,,,,,
25,"I do many pull requests to support bringing new open source projects into Open Collective. Some do not get attention for a very long time, and I miss the comments.",,,,My PRs are different for each project and activity. I may be passionate about some and want to follow them every day...others may not ever impact me. My response to requests for changes or owner response will be varied based on that.
26,,,,,"Sometimes the tone of the feedback can discourage following up on PRs, specially when it isn't the first time maintainers reject PRs for good and specific reasons."
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,"IP concern, as an employee of a private company. It usually take time to make a PR IP clean, if it is done within the company and to be approved before submission.",Discuss quickly with the person in charge to see if would be already taken in charge by something other PR,,,"quite normal, the PR might be covered in another PR, or it is more appropriate to integrate it in another way depending on how the source codes are organised."
49,,,,,
50,,,,,
51,,,Follow the new pull request. Contribute if required. ,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,"i have made many contributions to many different projects.  my experience in open source is that you need have to merge requests as quickly and smoothly as possible in order to ensure that people will contribute more, even if the code quality/technicals are not as 'prefect' as desired.  people that try to enforce commercial/academic code review bureaucracy on their open source project will inevitably kill their project.    as such, i usually make small pull requests the first time to a project to see how quickly they accept them.  projects that take a two weeks or more to respond i consider to be dead and are not worth my time.  after a year i close old pull requests so they do not clutter things up.    my personal average over many years of coding is that for every commit i make that gets accepted, i make another commit that does not.  i long ago stopped getting emotionally involved in the process.  the easiest way to get to a thousand commits is to make two thousand."
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,"I usually try to not abandon PRs, but this might happen because of missing notification",,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,"The above answers depend on the project, the change set & situation",,"The reasons and behavior depend almost always on the project, the change set  and tthe situation"
88,,,,,
89,,,,,
90,"test case failed, which are not related to my pull request",,,,I think its matter of time as I am working on developing solution with tight deadline for me to finish them is first priority
91,,Leave to get back to later,,,
92,,,,,
93,,,,,
94,,I apply my code in other personal projects.,,,"The OSS community is huge, but lacks financial incentive, ideas like tip4commit would greatly change the dynamic,  quality and frequency of code submissions, pull requests and their completion. "
95,Pull request was done in limited time available; Reviewers claim I misunderstood the security model and was creating a security hole.,,,,
96,,Kept it open and waiting for a follow up from a reviewer to continue,,,
97,,,,,
98,,,,,Sometimes I just want to get on the phone and talk to the person reviewing; an asynchronous text-based messaging system like GitHub comments on pull requests isn't always the best way for explaining tedious technical concepts
99,,,,,
100,,re submitted with another approach,,,
101,,,,,
102,,,,If it is easy for me,
103,,,,,
