Participant,What is the impact of pull request abandonment?,How did you deal with the abandoned pull request?,Would you have negative impression on contributors who have abandoned their pull requests?,Anything else you would like to tell us about  the pull request abandonment?,
1,,,,My general feeling is that pull request abandonment is more a result of development friction with complex processes of the project than it is about the individual contributors themselves. Often times people just don't have the time to invest very heavily in working on something so processes need to be designed in a way to encourage landing quickly and smoothly and not having single-ownership responsibility that can result in features stagnating if the owner has to leave the project in the future. People change their career trajectory all the time so expecting individuals to own a bit of code forever is unrealistic., 
2,,,,,
3,They clutter the PR list,,,,
4,,,The frequency that this happens and if they only open a PR and never look at it again or if they just stopped after a while etc.,,
5,,,,,
6,The y discouraged other contributors from taking on the issue.,,what the PR was about and what the feedback on it was,It's frustrating to see a bug ALMOST fixed and then abandoned.,
7,"Often closed if the author doesn¡¯t respond, not a big issue, if work is important someone else will pick it up.",,,,
8,,,,,
9,,,,,
10,,,,"In my experience, depending on how valuable the PR is, we end up either closing if it isn't that important (eg. a new feature) or fixing and merging the code ourselves if the project needs it (eg. a bug fix).",
11,"They cause well-meaning contributors to open up additional (and unwanted) PRs, cluttering the repo.",,"Depends on why. Depends on where the discussion led, what alternative PRs came about.","It happens for different reasons. Abandonement is perhaps too strong a term, sometimes it is just a matter of time that has not completed yet. Sometimes a PR leads to a discussion that reveals significant further development is needed, and not yet done.",
12,"They cause well-meaning contributors to open up additional (and unwanted) PRs, cluttering the repo.",,,,
13,It is very complicated.,,,It is very complicated.,
14,,,,"I don't mind it at all. You're not paid to submit this code, and if something important in your life comes up, that should take priority.",
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,I keep it open as the author might come back someday. We never know the reason why a PR was abandoned :(,,"Trying to figure out the reason why the PR was abandoned is the key. Maybe the reason that you have multiple PRs in that stage is that your review process is too hard, for example. Once you have that answer, you can work to reduce the turn around of PRs.",
24,,,,,
25,,,,,
26,,,,,
27,,Just leave them.,,,
28,,I took parts of the PR and merge them when they fit,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,Lost review time that could have been invested in reviewing other PRs and/or writing my own patches.,"we typically ping the original author of the PR, and close it if they don't respond within a reasonable period of time.","I generally don't have a negative impression of them unless it happens very frequently with the same person. Especially if it's a community driven by voluntary efforts, the author typically gave an honest attempt and abandoned their PR due to lack of time or a slow response from reviwers.",,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,"Cognitive load of having an open PR without a clear decision (whether to finish yourself, put another reminder or close)",,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,"Pull requests generally in my experience can become stale for plenty of reasons, it is very hard to land a meaningful change since there are so many variables entailed, e.g. Contributor / reviewer availability, differentiating ideas and directions but mostly time.",
66,,,,,
67,,,,,
68,,Our stale bot closed it,,,
69,,,,,
70,,"I typically just ignore it, leaving it open forever.",,,
71,,,,,
72,,,,,
73,,,,,
74,"Sometimes we adopt the pull request and make the requested changes ourselves, which adds extra work.",,,,
75,,"Mostly abandoned PRs just sit there. I rarely take them over, or rarely someone else does.",,,
76,,,,,
77,"It's not great, but it's not THAT big of a problem.",,,"For open source projects, if an outside contributor abandons a PR it's not that big of a deal. If the project is big enough and has enough momentum, someone else, sometimes me, will generally implement the feature/fix if it's important.    Also, having bots automate pedantry is great. Stalebot closes most of the stale PRs on my projects. It frees up my time, and people are less likely to complain or have their feelings hurt by a robot.",
78,,,,,
79,,,,,
80,"In the real world, the impact is quite low. Code review and issue triage is never wasted simply because a participant goes AWOL. If a PR is of real concern, someone else will pick it up and the effort carries over and does not need to be repeated."," It depends on the situation. All of these are valid options I've exercised in the past (except for ones that have nothing to do with me, like that one weird option), depending on the circumstances. ",,,
81,,,,Offering to pair can help; abandonment is often from lack of capability to execute on comments. ¨¹Drive by¨¹/prs where nobody speaks to a team member are often abandoned because they are so far from the direction the team wants to take.,
82,,,,,
83,it's hard to keep track of things being done (we have ~700 open PRs ),,it's understandable when the discussion takes too long and maintainers can't make up their mind.,,
84,,,,,
85,,,,,
86,,,,,
87,,Stalebot closes the pull request.,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
